actor,movie_or_TV_name
Hildeberto Maya,"Narcos: Mexico,Esta historia me suena,Sin miedo a la verdad,Feral,The Beauty and the Beasts,Sincronía,Hasta Que Te Conocí,Pinches Actores,Dos Lunas,Perras,Drenaje Profundo,XY. La revista,Purgatorio,Quince años,La niñera,Lucía, Lucía,When You Are Mine"
Nacho Tapia,"Lord Basura,Saint Jude,The Envoys,Narcos: Mexico,El Dragón: Return of a Warrior,¿Quieres ser mi rehén?,Con olor a guanajuato,Obscuro Despertar,After Dark,Embarazados,El Mariachi"
Leofer Rodríguez,"Nana de crueldad y realidad,Narcos: Mexico"
Ricardo Gallarzo Jr.,"Bachelor in Paradise,Queen of the South,Spectre"
Carlos Licea,"The Jesuit,Hernán,Rambo: Last Blood,Maras,The Load,Texas Rising"
Arturo Caslo,"Narcos: Mexico,Claramente,An Unknown Enemy,Ingobernable,Como dice el dicho,José José: El príncipe de la canción,Misisipi,La querida del Centauro,La rosa de Guadalupe,La doble vida de Estela Carrillo,La Doña,Lady of Steel"
Andrés De León,"Lluvia,Narcos: Mexico,No fue mi culpa: México,La rosa de Guadalupe,Mujer, casos de la vida real,Así son ellas,El juego de la vida,Entre el amor y el odio,Carita de ángel"
Alejandro Peraza,"Narcos: Mexico,Preso No. 1,Ingobernable,El Hotel,Vuelve Temprano,Manual de principiantes para ser presidente,El tamaño sí importa,Fear the Walking Dead,Yago,Lady of Steel,Elysium,El Señor de los Cielos,Cinco de Mayo, La Batalla,Capadocia,Escuche,La rosa de Guadalupe,Infames,El encanto del águila,The Power of Destiny,Colombiana,Gritos de muerte y libertad,El Octavo Mandamiento,XY. La revista,2033,El Pantera,Hitgirl,Propiedad ajena,Lola: Érase una vez,Rebelde,Vecinos,Continuidad"
Jorge Richards,"Narcos: Mexico,Diseñando tu amor,Obscuro Despertar,Un poquito tuyo,La rosa de Guadalupe,Papis muy padres,Su nombre era Dolores, la Jenn que yo conocí"
Rodrigo Franco,"Narcos: Mexico,Acapulco,Desperados,Enemigo Íntimo,Sincronía,El Vigilante,You Will Know What to Do with Me,Awakening Dust,Aquí entre nos,El encanto del águila,La rosa de Guadalupe,Línea nocturna,Cero y van 4"
Patricia Collazo,"Surviving the Cartel,Narcos: Mexico,Nada Personal,Un día cualquiera,Soba,Sueños de un suicida,Nada personal"
