actor,movie_or_TV_name
Néstor Rodulfo,"Juzga,Panama,Un Dia Para Vivir,Peligro en tu mirada,Human Animals,Juntos,Narcos: Mexico,Amores Que Matan,Juliantina,CELOS,Amar a muerte,Nicky Jam: El Ganador,Sr. Ávila,Macho,La Hermandad,El Señor de los Cielos,Meister des Todes,Verdades y Mentiras,Camelia La Texana,La Impostora,Fortuna,Rosa Diamante,Hidalgo - La historia jamás contada.,El Octavo Mandamiento,Las Aparicio,Estampas de Teyo Gracia,Al borde del deseo,La recompensa,Che: Part Two,Che: Part One,Angels Perdidos,Animal,El ultimo caso del detective Prado,Stray Bullet,En cuarentena,Locos de amor,Amores como todos los demas,Los Díaz de Doris,Oso blanco,Heroes from Another Land"
Mike Ostroski,"Bosch: Legacy,Blonde,Maggie,Those Who Wait,The Righteous Gemstones,The Deception,The Goldbergs,WRZ: White Racist Zombies,Remembering Us,Danger Force,Modern Family,Henry Danger,Narcos: Mexico,Sycamore Valley,Euphoria,Zilly's War,9-1-1,Velvet Buzzsaw,The Rookie,American Warfighter,The Adventures of Kid Danger,Black-ish,Fuller House,The Outsider,Recoil,GLOW,Shot Caller,The Middle,New York Prison Break the Seduction of Joyce Mitchell,The Fosters,Days of Our Lives,Presidents Day,Brooklyn Nine-Nine,Better Criminal,How to Get Away with Murder,The Merry Maids of Madness,War Torn,The Muppets.,The Quest for Suki,Sheltered,Fire's Daughter,If Not Now,Bad Service,Camouflage,Manhattan,Legends,Death & Taxes,Death in Time,The Redemption of Henry Myers,Those That Play Your Clowns,Criminal Minds,Setback,A God-Fearin' Man,Pigeon Camera,Charybdis Point,Prompt Critical,The Deception,Breaking Bad,When It Ends,Surreal Estate,The Rapture,Freedom"
Pilar Padilla,"Mentir para vivir,Courage,Lluvia adentro,S.W.A.T.,Todo por nada,Narcos: Mexico,Sin tu mirada,Cygnus,Sin rastro de ti,La rosa de Guadalupe,Mi corazón es tuyo,Secretos de vecindad,A Shelter for Love,The Reasons of the Heart,Terminales,Tear This Heart Out,Capadocia,Al terminar la noche,Used Parts,La sangre iluminada,Mujer, casos de la vida real,Marta's Sex Tape,10:15,Breached,La quietud y el fuego,Adán y Eva (Todavía),Sobre mi piel,Fidel,In the Time of the Butterflies"
Hugo Rocha,"Ojos ajenos,Coyote,Narcos: Mexico,Club de Cuervos"
Roman Arabia,"He Went That Way,The Lincoln Lawyer,Minx,Hollywood Stargirl,The Dinner,Emily the Criminal,The Shrink Next Door,On the Verge,Animal Kingdom,Moxie,Kidding,Bob Hearts Abishola,The Infiltrators,Narcos: Mexico,Lethal Weapon,Shameless,Arrested Development,Here and Now,High & Mighty,Curb Your Enthusiasm,Lady Bird,Castle,The Bridge,Dispatch,Chuck,In the Valley of Elah,How the Garcia Girls Spent Their Summer,American Family,The Shield"
Eddie Martinez,"Miles Away,Moving On,Unconformity,Till Dawn,All Rise,COVID19... Sins & Virtues,Super Ma,The Sinner,Kill Chain,Orange Is the New Black,Lying and Stealing,American Exit,Scumbags,The Infiltrators,Flavor of Life,Narcos: Mexico,Bel Canto,Diwa,Gente-fied: The Digital Series,Hawaii Five-0,An Ornament of Faith,Slit,Still Devout,Colony,Rematar,Este Cuerpo es Mio,Pure Genius,Nosotros,Courier X,The Night Stalker,Capoeira,Powder and Gold,East Los High,NCIS: Los Angeles,Bosch,Sirens,The Gambler,The Bridge,Major Crimes,Ni-Ni,Fighting for Freedom,Busted!,Steampunk Samurai Biker Chick,Eden,The Nevsky Prospect,Delano,Pawn,The Snow Queen,A Better Life,Coyotes,Eagleheart,The Kite,The Latin & The Gringo,Quetzal,Ink,Open House,Respiración,Dark Blue,Entre nos,Roses,Hollywoodn't,Weeds,Secretos,A Day's Work,Sugar,The Unit,Speed Dating,Conviction,Law & Order: Criminal Intent,Law & Order,Jonny Zero,Unsolved Mysteries,White Boy"
Pako Martinez,"Lo que la gente cuenta,Narcos: Mexico,Yo soy Pepito,Pacientes,Un mundo raro"
Gerardo Moreno,"Bardo,Dale Gas,Viajeros"
Ethan Russell,"The Last Full Measure,Narcos: Mexico,A Stand Up Guy,Shades of Blue,Club Life,White Dwarf"
Kevin Corrigan,"American Murderer,Grendel,Montauk,Surf Guard,Narcos: Mexico,The Playboy Interview,Scenes from an Empty Church,Godfather of Harlem,The Man in the Woods,Teenage Badass,The King of Staten Island,Lost Girls,Ray Donovan,Phoenix, Oregon,Cliffs of Freedom,The Duck,Bull,Deception,The Poet and the Professor,Blue Bloods,Dice,The Holdouts,The Get Down,Infinity Baby,The Show About the Show,Take the 10,Stray Bullets,Sublets,Muddy Corman,Urge,Ordinary World,Portlandia,Choke Chains: Safe Word,Sweets,Public Morals,The Missing Girl,Laugh Killer Laugh,Meadowland,Knight of Cups,Results,The Unlovables,Cymbeline,Wild Canaries,Winter's Tale,Community,The Mentalist,Life of Crime,Necessary Roughness,The Unlovables,Men at Work,Ice,Tuna,The Mob Doctor,Just Like A Bird,Two People He Never Saw,Made in Jersey,Seven Psychopaths,1,000 Times More Brutal,The Dictator,and/or,Supporting Characters,Revenge for Jolly!,Somebody Up There Likes Me,Funeral Kings,Boys on Film 7: Bad Romance,Ponies,Slacker 2011,The Latest Show with Buck Nelson,Fringe,Some Guy Who Kills People,CSI: Miami,The Chaperone,Moves: The Rise and Rise of the New Pornographers,Stuff,The Next Three Days,Unstoppable,Circus Maximus,Law & Order: Special Victims Unit,Please Give,The New Tenants,Mercy,Californication,Today's Special,Don't Look Up,Harmony and Me,The Mother of Invention,Damages,Law & Order,Medium,2B,Big Fan,Hit and Run,Nick and Norah's Infinite Playlist,Pineapple Express,The Toe Tactic,RSO: Registered Sex Offender,Definitely, Maybe,American Gangster,Superbad,The Black Donnellys,Goodbye Baby,On the Road with Judas,Feel,Delirious,The Departed,The Dog Problem,The Last Winter,Out There,Grounded for Life,The Honeymooners,Break a Leg,Lonesome Jim,Wake Up, Ron Burgundy,Sexual Life,When Zachary Beaver Came to Town,Sick in the Head,Hack,American Saint,Chelsea Walls,See Jane Run,Scotland, Pa.,Chain of Fools,Broke Even,Steal This Movie,Freaks and Geeks,Detroit Rock City,Love Bites,Coming Soon,Roberta,Brown's Requiem,Lulu on the Bridge,Slums of Beverly Hills,Homicide: Life on the Street,Buffalo '66,Henry Fool,SUBWAYStories: Tales from the Underground,Pearl,Revelation,Kicked in the Head,Illtown,Trees Lounge,The Pallbearer,Bandwagon,Walking and Talking,An Eviction Notice,Drunks,Kiss of Death,Bad Boys,Living in Oblivion,American Standoff,The Last Good Time,Rhythm Thief,Family Remains,The Saint of Fort Washington,True Romance,Zebrahead,Jumpin' at the Boneyard,Dead and Alive: The Race for Gus Farace,Superboy,Billy Bathgate,One Good Cop,Goodfellas,The Exorcist III,Men Don't Leave,CBS Schoolbreak Special,Lost Angels,ABC Afterschool Specials"
Tim Ransom,"Blonde,Perry Mason,The Mandela Effect,The InBetween,Games People Play,Narcos: Mexico,Gone,Battle of the Sexes,The Handmaid's Tale,Blue Bloods,LBJ,Preacher,Togetherness,Aquarius,Forever,Scandal,Hostages,Masters of Sex,Boardwalk Empire,Perception,Bones,Castle,Law & Order: Special Victims Unit,Desperate Housewives,Win Win,Brothers & Sisters,Valentine,Six Degrees,Without a Trace,Conviction,Third Watch,Law & Order: Criminal Intent,Law & Order,Follow the Stars Home,The Good Doctor,Nash Bridges,Snowden's Christmas,The Learning Curve,Providence,Star Trek: Deep Space Nine,The Practice,Players,The Lazarus Man,Courage Under Fire,Murder, She Wrote,Outbreak,Earth 2,Signs and Wonders,A Time to Heal,Broken Promises: Taking Emily Back,The X-Files,They've Taken Our Children: The Chowchilla Kidnapping,Son of the Morning Star,A Woman Named Jackie,Fever,The Last to Go,Vital Signs,American Playhouse,The Dressmaker,Desperately Seeking Susan"
Quavo,"Wash Me in the River,Quavo: Shooters Inside My Crib,Bobby Shmurda Feat. Quavo, Rowdy Rebel: Shmoney,Jim Jones & Migos: We Set the Trends,Quavo Feat. Yung Miami: Strub Tha Ground,Migos: How We Coming,Migos: Roadrunner,Migos: Why Not,Migos: Modern Day,Migos: Avalanche,Migos: Straightenin,DJ Khaled Feat. H.E.R. & Migos: We Going Crazy,Pop Smoke Feat. Quavo: Aim for the Moon,Migos Feat. YoungBoy Never Broke Again: Need It,Saweetie Asks Quavo 44 Questions,Migos: Taco Tuesday,Migos: Racks 2 Skinny,Pop Smoke Feat. Quavo: Shake the Room,Migos, Young Thug, Travis Scott: Give No Fxk,Narcos: Mexico,Justin Bieber feat. Quavo: Intentions,Quavo: Virgil,Quality Control, Migos: Frosted Flakes,Quality Control, Migos feat. Lil Yachty & Gucci Mane: Intro,Migos: Stripper Bowl,E-40 Feat. Quavo, Roddy Ricch, A$AP Ferg, ScHoolboy Q: Chase the Money,Tory Lanez Feat. Quavo & Tyga: Broke Leg,Black-ish,Yella Beezy, Quavo, Gucci Mane: Bacc at It Again,Saweetie feat. Quavo: Emotional,Mustard & Migos: Pure Water,Only in Atlanta,Quavo: How Bout That?,Quavo: Bubble Gum,2 Chainz Feat. Drake, Quavo: Bigger Than You,DJ Durel & Migos: Hot Summer,Quavo: Workin Me,Quavo: Lamb Talk,DJ Khaled Feat. Justin Bieber, Chance the Rapper & Quavo: No Brainer,Migos: Narcos,Niska Feat. Quavo & Stefflon Don: Réseaux,Star,Mike Will Made It Feat. Pharrell Williams & Quavo & Big Sean & Rae Sremmurd: Aries (YuGo) Part 2,Migos Feat. Drake: Walk It Talk It,Iggy Azalea Feat. Quavo: Savior,Migos: Culture II Photoshoot BTS,Migos: Stir Fry,Quality Control, Quavo, Lil Yachty: Ice Tray,Ncredible Gang feat. Nick Cannon, Jeremih & Ty Money: Dream Girl,Quality Control Feat. Migos: Too Hotty,Gucci Mane Feat. Migos: I Get the Bag,Camila Cabello Feat. Quavo: OMG,Major Lazer Feat. Travis Scott, Camila Cabello, Quavo: Know No Better,Keke Palmer Feat. Quavo: Wind Up,Machine Gun Kelly Feat. Quavo & Ty Dolla $ign: Trap Paris,Liam Payne Feat. Quavo: Strip That Down,Katy Perry Feat. Migos: Bon Appétit,Migos Feat. Gucci Mane: Slippery,Migos: Get Right Witcha,DJ Khaled Feat. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne: I'm the One,Migos Feat. 2 Chainz: Deadz,Post Malone Feat. Quavo: Congratulations,Migos: T-Shirt,Migos: Call Casting,Meek Mill Feat. Quavo: The Difference,T.I. Feat. Quavo, Meek Mill, RaRa: Black Man,Atlanta,Migos: Cocoon,Migos: Say Sum,Migos: On a Mission,Migos: Look at My Dab,Migos: Look at My Dab - Accidental Version,Migos: Pipe It Up,Migos: One Time,Migos: Cross the Country,Migos: Wishy Washy,Migos Feat. Rick Ross: Black Bottles,Migos: Story I Tell,Rich the Kid Feat. Migos: Goin' Crazy,Migos Feat. Johnny Cinco: Top Floor,Migos: Handsome and Wealthy,Migos: Facts,Migos Feat. Peewee Longway: Came In,Migos: Who the Hell,Migos: Freak No More,Migos: Fight Night,Migos: Emmitt Smith,Migos: Pronto,Migos: Jealousy,Migos: Ounces,Migos: Hannah Montana,Migos Feat. Riff Raff, Trinidad James: Jumpin Out the Gym,Migos: Versace,Migos: Chinatown,Migos: Bando,Migos: Adios,Migos: Chirpin,Migos Feat. Gucci Mane: Dennis Rodman,Migos: R.I.P."
Ari Gallegos,"El Sueño de Ayer,Mamá o Papá,Cosas imposibles,How to Survive Being Single,From Culiacan,Mentada de Padre,Narcos: Mexico,Sin miedo a la verdad,Descontrol,Maldita Tentación,Club de Cuervos,Su nombre era Dolores, la Jenn que yo conocí,El Vigilante,Mi último deseo,The Perfect Dictatorship,Pasajeros,Saliendo por la Entrada,Cena para Tres,Al Acecho del Leopardo,La rosa de Guadalupe,Los Minondo,¿Quién anda ahí?,La gran masturbación,En algún lugar en playa,Sexo, amor y otras perversiones 2,Otaola o la república del exilio,DKDA: Sueños de juventud"
Julián Díaz,"Black or White, Never Gray,Red Jungle,La Matriarca,Fiebre,Lala's Spa,La Sombra de Tu Sonrisa,El Testamento de un Gallo,Edificio 51,El Barón,Narcos: Mexico,La Viuda Negra,Narcos,Celia,En la Boca del Lobo,A Roberto Morgan le gusta el Café,Nos Vamos Pal Mundial,La Hipocondríaca,Made in Cartagena,Lynch,Apatía, una película de carretera,Ojo por ojo,Victorinos,Recargo nocturno,El arriero,La Pocima,La sucursal del cielo,Love in the Time of Cholera,A Ton of Luck,El Cruce,Boom!,El colombian dream,1000 pesos colombianos,Wandering Shadows,Hospital Central,Policías, en el corazón de la calle,La casa de los líos,El último baile de Fred Astaire,Canguros,Turno de oficio: Diez años después"
Horace Dodd,"Mayor of Kingstown,The Family Business,Driven,Grown-ish,Narcos: Mexico,For The People,Grace and Frankie,S.W.A.T.,Along the Bed's Edge Sitting,Love-40,Jinn,Corporate,I Hate Everything,I'm Dying Up Here,Tosh.0,How to Get Away with Murder"
Cristian Ley,"Surviving the Cartel,Narcos: Mexico,El Señor de los Cielos,Ride MT-274"
Marc Blucas,"One Heart,Quiet In My Town,Hunting Ava Bravo,Swagger,Doomsday Mom,Good Morning Christmas!,Unearth,Narcos: Mexico,Holiday for Heroes,The Fix,Season for Love,Dietland,Looking Glass,Searchers,Miss Christmas,Brawl in Cell Block 99,Underground,Corrida,Operation Christmas,Notorious,The Irresistible Blueberry Farm,The Red Maple Leaf,Limitless,Sleeping with Other People,CSI: Crime Scene Investigation,Stalker,Killer Women,Blue Bloods,Necessary Roughness,Touchback,Body of Proof,Red State,True Blue,Law & Order: LA,Knight and Day,See Kate Run,Castle,Animals,Lie to Me,Deadline,Mother and Child,Stuntmen,Stay Cool,Eleventh Hour,Meet Dave,Judy's Got a Gun,After Sex,The Jane Austen Book Club,House,The Killing Floor,Thr3e,First Daughter,The Alamo,One Flight Stand,View from the Top,Prey for Rock & Roll,I Capture the Castle,They,Sunshine State,Buffy the Vampire Slayer,We Were Soldiers,Jay and Silent Bob Strike Back,Summer Catch,The Mating Habits of the Earthbound Human,Undressed,Clueless,The '60s,Pleasantville,Arli$$,Dilemma,Eddie,Inflammable"
Axel de La Rosa,"Una Vida De Perro,Narcos: Mexico,La rosa de Guadalupe"
Jorge Farnetti,"Narcos: Mexico,La mujer de mi padre"
Francisco Denis,"deMonica,La última palabra,Benigno Cruz,Bonded,Rabbit,Operación Orión,Diario De Un Gigolo,The Five Juanas,DeMonica,Tarkari de chivo,Chilangolandia,The Mallorca Files,Tom Clancy's Jack Ryan,Interferencia,Narcos: Mexico,El Comandante,Narcos,Tamara,Azul como el cielo,Travesía,Ley de Fuga,3 Beauties,The Liberator,Bolivar, Man of Difficulties,Historias del Mas Acá,De repente, la película,La mula muerta,The Kid Who Lies,Muerte en alto contraste,1, 2 y 3 mujeres,Comando X,La tigra"
Scott William Winters,"The Girl from Plainville,Narcos: Mexico,City on a Hill,A Little Dream,Station 19,God's Fool,NCIS,Criminal Minds,Beautifully Broken,The Lost Son,Berlin Station,Blue Bloods,Lethal Weapon,The Americans,Law & Order: Special Victims Unit,Sweet Lorraine,Borgia,The Leftovers,The Sublime and Beautiful,NYC 22,Vivienne Again,Urgency,Act of Vengeance,Fringe,Walking on Turtle Island,Law & Order,Without a Trace,Lincoln Heights,24,Eyes,The Book of Daniel,13 Graves,Dexter,CSI: Crime Scene Investigation,Wildfire,Wanted,Numb3rs,Crossing Jordan,North Shore,CSI: Miami,NYPD Blue,The Jury,10-8: Officers on Duty,The Dead Zone,Fastlane,Oz,Jay and Silent Bob Strike Back,The Beat,Angel,The Pretender,Promised Land,Good Will Hunting,Homicide: Life on the Street,The Prosecutors,The People vs. Larry Flynt"
Sam Avishay,"Narcos: Mexico,NCIS: Los Angeles,Another Castle,The Cell"
Daphne Keller,"Narcos: Mexico,Asphalt Goddess,La Bandida"
David Paladino,"Subversion,The Knocking,CSI: Vegas,Narcos: Mexico,The Premise,The March,You,All Rise,Games People Play,Love, Death & Robots,S.W.A.T.,9-1-1,Call of Duty: Black Ops 4,Lucifer,The Truth Is False,Anything,NCIS: Los Angeles,Colony,Fatal Defense,Call of Duty: Infinite Warfare,Rosewood,Deceived,NCIS,Call of Duty: Black Ops III,Disorganized Zone,Return to Zero,Absence,Euston Station,The Young and the Restless,Call of Duty: Black Ops II,Dancing Still,Leverage,The Baby,Call of Duty: Black Ops,Noble One,Guilty or Innocent?,The Suite Life of Zack & Cody,29 and Holding,Sympathy Cop,King Returns,Blue Caviar,CSI: Crime Scene Investigation,For Your Love,Spider-Man: The Animated Series"
Johanna Murillo,"Soy tu fan,Narcos: Mexico,Tere,Diablo Guardián,The Good Girls,Noches De Julio,Eres mi pasión,El Cesar,Cuernavaca,La dama de rojo,Siempre Contigo,Sr. Pig,Ramona y los escarabajos,Volando Bajo,The Perfect Dictatorship,Perfect Obedience,The Popcorn Chronicles,Demon Inside,Alguien Más,Cinnamon,Soy tu fan,El Sexo Débil,Las Aparicio,El sueño de Isi,Corazón Partido"
Hector Kotsifakis,"Ojos que no ven,The Last Trip,About the Dead,Malverde: El Santo Patrón,Me encanta pero me espanta,Karem, la posesión,Narcos: Mexico,The Black Minutes,The Exorcism of God,Everything Will Be Fine,Enemigo Íntimo,Esta historia me suena,La Seductora,ColOZio,Vecinos,Una Noche no me Basta,Mimesis,The Unknown Hitman: The Story of El Cholo Adrían,Rojo mexicano,Selena's Secret,The Mongolian Conspiracy,El Recluso,Falco,Consciencia,Malacopa,Las Reglas de la Ruina,La jefa del Campeón,Lo que podríamos ser,Gringo,Nada Personal,Me gusta, pero me asusta,La Hermandad,Run Coyote Run,Érase una vez,La Gran Promesa,Sincronía,Sin rastro de ti,De las muertas,Un día cualquiera,Hysteria,Revolución - Las Batallas de Celaya,Así en el barrio como en el cielo,Let Her Go,Honeymoon,Cuando Volvamos a Vernos,Manuela Jankovic's War,Sr. Ávila,Tiempos Felices,Cantinflas,Ciego Amor,Barrio Bravo,Familia Gang,Adiós,Detrás del Poder,500 ml,Rutina,Good Day, Ramon,Alguien Más,Prohibido Amar,Eliza,La Teniente,Los Rey,Música Ligera,Toda la Suerte del Mundo,Los inadaptados,Reacciones adversas,El efecto tequila,Los Minondo,Drenaje Profundo,Speed of Glory,Hell,Soy tu fan,Lo que callamos las mujeres,Cada quien su santo,Cephalopod,Pobre Diabla,XY. La revista,Daniel and Ana,El cártel,Secretos del alma,Cosita linda,Casi divas,Cambio de vida,Todos los días son tuyos,El otro Diego,El Guapo,Se busca un hombre,Amor sin condiciones,Secondary Effects,Campeones de la vida,Amor xtremo,Ciudad de muertos,Malos días mi amor,Lo que la gente cuenta,Bitácora,Me gusta cuando callas,La vida es una canción,Nikotina exxpress,Dos chicos de cuidado en la ciudad,La hija del jardinero,Mirada de mujer: El regreso,Vivir así,La segunda noche"
Carlos Gatica,"Infelices para Siempre,Los ricos también lloran,Narcos: Mexico,La Desalmada,Esta historia me suena,Hasta Que La Suerte Nos Separe,Unstoppable,Cindy La Regia,Médicos, línea de vida,The House of Flowers,Por amar sin ley,Como dice el dicho,La doble vida de Estela Carrillo,Por siempre Joan Sebastián,La rosa de Guadalupe,Simply María,Shadows of the Past"
Francisco Calvillo,"Supertitlán,Reputación Dudosa,SOS Me estoy enamorando,Contigo sí,El Galán. La TV cambió, él no,Parientes a la Fuerza,Lo que la gente cuenta,Fuego ardiente,Narcos: Mexico,Noches con Platanito,Cita a ciegas,Monarca,Sin miedo a la verdad,Por amar sin ley,La Guzmán,Like, la leyenda,Relatos Guadalupanos,Sr. Ávila,La jefa del Campeón,La Piloto,Enemigo Íntimo,El Señor de los Cielos,Paquita la del Barrio,La querida del Centauro,La doble vida de Estela Carrillo,Manual de principiantes para ser presidente,Lying Heart,Yago,Passion and Power,Road to Destiny,La rosa de Guadalupe,Lady of Steel,Anything But Plain,Amores con trampa,Los Miserables,Mi corazón es tuyo,La malquerida,Until the End of Time,Qué pobres tan ricos,Como dice el dicho,La vida de una diva,Por siempre mi amor,The Return,Corazón indomable,Qué bonito amor,Capadocia,Rosa Diamante,Una familia con suerte,Infames,Amorcito corazón,Inesperada Atracción,Teresa,Mañana es para siempre,Lola: Érase una vez,Palabra de mujer,Objetos perdidos,Mujer, casos de la vida real,La fea más bella,Vecinos,La esposa virgen,Sueños y caramelos,Apuesta por un amor,Rebelde,Hospital el paisa,Rubí,Wooden Woman,Bajo la misma piel,De pocas, pocas pulgas,Las vías del amor,Clase 406,El Shaka"
Sandra Celedón Esparza,"La rosa de Guadalupe,Narcos: Mexico,Rosario Tijeras,Atrapada,Enemigo Íntimo,Paquita la del Barrio"
Manuel Sevilla,"Un Dia Para Vivir,El Candidato,Narcos: Mexico,An Unknown Enemy,La Hija Pródiga,Eva La Trailera,Dueños del Paraíso,Reina de corazones,En Otra Piel,Marido En Alquiler,Sr. Ávila,Fierce Angel,Pasión Morena,Demente,Cada quien su santo,Mexican Standoff,El sexo fuerte,Cambio de vida,KM 31: Kilometre 31,Secondary Effects,Montecristo,Amor en custodia,Los Sánchez,Historias y testigos: Propriedad privada,Romancing the Bride,Casting... Busco fama,Postdata: Cronica Roja,Mirada de mujer: El regreso,Visita al doctor,Fidel,When You Are Mine,Warden of Red Rock,Un mundo raro,Mujer, casos de la vida real,El amor de mi vida,Para morir en video,Buscando el paraíso,Sólo con tu pareja"
Emiliano Clavel,"Narcos: Mexico,Sin miedo a la verdad,La rosa de Guadalupe,Como dice el dicho,Roomies,With You, Without You"
Noel León,"Narcos: Mexico,La china,Hermanos y detectives,Diablo de la frontera,El Judas,Río de pasiones,Black,El diamante de Caro Quintero,El engaño de un texano,La fiera de la montaña,Pandilleros de la muerte,Puños de chicano,Herencia de narcos,Cholos, sexo, droga y rock,Los dos rivales,Secuestro: Aviso de muerte,Day and Night,Halcones de la muerte - Espias mortales"
Mara Cuevas,"Amor dividido,Acapulco,Narcos: Mexico,La rosa de Guadalupe,Veinteañera: Divorciada y Fantástica,Yankee,Silvia Pinal... frente a tí,El candidato Rayo,El Candidato Rayo,José José: El príncipe de la canción,Waking Up with You,Señorita Pólvora,El fuego inolvidable,XY. La revista,Juro que te amo,La madrina,Shirgo (La leyenda del Cagalar),Sexo, amor y otras perversiones 2,Marina"
Andrés Delgado,"Bule-Bule o La Noche Oscura del Alma,Soy lo que nunca fui,Dale Gas,Bonded,An Unknown Enemy,Narcos: Mexico,Cosas imposibles,Solo Respira,No Man's Land,Ouroboros,I Am Good,Tijuana,Run Coyote Run,La Piloto,Descontrol,40 y 20,Vuelve Temprano,Macho,Sueño de amor,Compadres,Leaf Blower,Decir Adiós"
Pamela Almanza,"Horario Estelar,Máscara vs Caballero,Rebelde,Luis Miguel: The Series,Origin Unknown,How to Survive Being Single,My Boyfriend's Meds,Rosario Tijeras,Modern Loves,This Is Tomas,Yankee,Preludio a una Siesta,Atrapada,Loca Por El Trabajo,Narcos: Mexico,Here on Earth,Guerra de Idolos,Que Pena Tu Vida,El tamaño sí importa,Tome la pistola y empiece a despachar,Niñas mal,Niñas Mal 2,Danna Paola: Agüita"
Diana Carreiro,"Un Dia Para Vivir,Narcos: Mexico,Lo que la gente cuenta,Veinteañera: Divorciada y Fantástica,Rosario Tijeras,Más Allá del Miedo"
Mauricio Núñez Nava,"Narcos: Mexico,Silvia Pinal... frente a tí,Como dice el dicho,Perseguidos,¿Qué tanto es tantito?,Amigos con derechos,Este cuerpo no es mío,La vida es perra,Luna sin miel,Soy padrino,Un matrimonio imperfecto,Y el amor existe,Y todo sucedió en día de muertos,Me he de comer esa tuna,Ciego, cojo y loco,No me niegues cuando pregunten por mí,Tres en la misma almohada,Una noche para recordar,Un clavo saca otro clavo,Tumba abandonada"
Jessica Lindsey,"Armas De Mujer,100 días para enamorarnos,Westworld,Narcos: Mexico,Scorpion,Ladrones,Instructions Not Included,Now You See Me,The Case of the Missing Garden Gnome,Law & Order: Special Victims Unit,Without a Trace,Medium,Will & Grace,Just Pray"
Alberto R. Ruiz,"Narcos: Mexico,Selena's Secret,Como dice el dicho,Hijas de la luna,La rosa de Guadalupe,Amazonas"
Gustavo Navarro,"Narcos: Mexico,El Chapo,Rosa Diamante,A corazón abierto,Not Even the Devil,Real Estate,Marina,Decisiones,CSI: NY,Daniela,Mi pequeña traviesa,La culpa,Tenías que ser tú,Madres egoístas,Cuando llega el amor,Luz y sombra,Pasión y poder"
Noah Sloan,"Control Z,Narcos: Mexico"
Julia Lehman,"Suicide for Beginners,Borat Subsequent Moviefilm,City Kitties: Zamn Zaddy,Narcos: Mexico,My Baby Is a Bike Helmet,The Brownlist,From Hell to the Wild West,Spreading Darkness,Say the Word,The Black Room,The Obsidian Curse,The Burning Dead,Charlie Goes to the Dentist,Constantine,Origin Story,Chronicles of the Dead,Baby Mentalist,Wedding Day,Cheerleader Massacre 2,Halloween Knight,Grace of the Gun,The Monica, 90404,The New Adventures of Old Christine,House Rules for Bad Girls,Modern Family,Bring It on: Fight to the Finish,Vanished,Dark Reel,I Heart Veronica Martin,Pretty Cool Too,Even If,Veronica Mars,Pledge This!"
Fernando Ransom de la Torre,"La Guzmán,La Bandida,Narcos: Mexico,An Unknown Enemy,Atrapada,Como dice el dicho,Nada Personal,Las Bravo"
Raúl Villegas,"MexZombies,Dale Gas,The Mosquito Coast,Narcos: Mexico,Bayonet,Rosario Tijeras,La querida del Centauro,Sexennial Plan,El encanto del águila"
Isi Rojano,"Dale Gas,Malverde: El Santo Patrón,Lo que la gente cuenta,Todo por nada,Enemigo Íntimo,Narcos: Mexico,La Usurpadora,Érase una vez,Sátiros,El Vigilante,Un día cualquiera,Hysteria,Dios Inc.,El Señor de los Cielos,Fortuna,Capadocia,Rosa Diamante,Bajo el alma,El Octavo Mandamiento,Zapata - El sueño del héroe"
Israel Islas,"El Jardin aka: Narco Killer,Aztech,Rosario Tijeras,Narcos: Mexico,Sin miedo a la verdad,Su nombre era Dolores, la Jenn que yo conocí,The Candidate,Hyena's Blood,Edén,El Gringo,Outlaws,El encanto del águila,El Equipo,Macúlei,Terminales,En la luz del sol brillante,The Rookie: CTU,The Girl on the Stone"
Marco Treviño,"A la Carta,La Vida en el Silencio,Presencias,Narcos: Mexico,Broken Souls,La Muchacha Que Limpia,Who Killed Sara?,Vencer el desamor,La Negociadora,Conversaciones,Mar de fondo,La petición,Como Caído Del Cielo,La Boda. Cortometraje cuasiexperimental cómico y trascendente para mantener viva la llama de la creatividad y la amistad.,Crime Diaries: The Candidate,Mist of Guilt,El Gallinero,Paramedicos,Educando a Nina,Cygnus,Guerra de Idolos,Nada Personal,El último aliento,Sense8,Ingobernable,Manual de principiantes para ser presidente,Hasta Que Te Conocí,El Señor de los Cielos,Drunk History: El Lado Borroso De La Historia,The 33,Los Miserables,Rule: Fidelity to the Limit,Demon Inside,Fortuna,Capadocia,Los Salgado,Rosa Diamante,After Lucia,Infames,Memories of My Melancholy Whores,El Sexo Débil,Las Aparicio,Oscura Seduccion,Speed of Glory,Hidalgo - La historia jamás contada.,180º,Hellbureau,Bajo Amenaza: 42 km. de angustia,2033,Eternamente tuya,Deseo Prohibido,Llamando a un ángel,Cambio de vida,Por siempre,Mientras haya vida,El brassier de Emma,Bad Habits,Término medio,Un mundo maravilloso,ADN: La prueba,Bodas de oro,Decisiones,Amor en custodia,Los torcidos,Los Plateados,Zapata: Amor en rebeldía,Gitanas,Pink Punch,Ladrón de Corazones,El Alma Herida,Feliz navidad mamá,La duda,Por tí,Nadie escucha,Daniela,Fidel,El sueño del caimán,In the Time of the Butterflies,Lo que callamos las mujeres,El aguacate,Marea Brava,Rodeo del crimen,El regreso de los pelotones de Juan Camaney,El gatillero de la mafia,La playa del deseo,Las pasiones del poder,Triángulo fatal,Halcones de la muerte - Espias mortales,Por un salvaje amor 2,Ausencia de color,La blazer blindada 2,Por un salvaje amor,Astucia,Dona Herlinda and Her Son"
